,loss,lr,average_reward,num_buy,num_sell,num_hold
140,2.4200226107495837e-05,0.001,-0.000979430042207241,10,6,48
141,1.622916715859901e-05,0.001,-0.00098621123470366,8,12,44
142,7.531407391070388e-06,0.001,0.0016686912858858705,11,6,47
143,5.730669727199711e-05,0.001,9.643484372645617e-05,12,9,43
144,4.114108014618978e-05,0.001,0.004929789807647467,12,13,39
145,6.860521807539044e-06,0.001,0.004484124016016722,5,11,48
146,3.547437154338695e-05,0.001,0.0011246942449361086,14,8,42
147,3.971827027271502e-05,0.001,0.0009843254229053855,16,11,37
148,3.388902769074775e-05,0.001,0.0005283772479742765,12,13,39
149,7.368767001025844e-06,0.001,8.008349686861038e-05,10,12,42
150,3.545014624251053e-05,0.001,0.0069868555292487144,7,14,43
151,3.6189980164635926e-05,0.001,-0.0010668589966371655,14,13,37
152,1.9408851585467346e-05,0.001,0.00043781870044767857,10,10,44
153,1.0369794836151414e-05,0.001,-0.0006062069442123175,10,11,43
154,4.7184061259031296e-05,0.001,-0.00029246858321130276,17,8,39
155,2.5256958906538785e-05,0.001,-0.003173650009557605,14,11,39
156,2.5604555048630573e-05,0.001,0.0037511144764721394,12,9,43
157,3.28769747284241e-05,0.001,0.001542834797874093,8,7,49
158,1.781714308890514e-05,0.001,0.004624567925930023,7,7,50
159,1.4535839000018314e-05,0.001,-0.0018461982253938913,10,8,46
160,2.9472425012500025e-05,0.001,-0.0026710256934165955,11,8,45
161,1.5108889783732593e-05,0.001,6.70476583763957e-05,4,13,47
162,3.00131032417994e-05,0.001,0.0023736716248095036,9,8,47
163,3.860706419800408e-05,0.001,0.004068351816385984,5,14,45
164,1.3009624126425479e-05,0.001,0.006285970564931631,7,13,44
165,7.034912414383143e-06,0.001,-0.0017232694663107395,9,8,47
166,1.994496960833203e-05,0.001,-0.0006284823757596314,8,7,49
167,4.221779090585187e-05,0.001,-0.0001996150240302086,11,8,45
168,4.2860760004259646e-05,0.001,-0.0006229344289749861,11,8,45
169,5.4508236644323915e-05,0.001,-0.00023364473599940538,9,13,42
170,2.828873402904719e-05,0.001,-0.0026719418819993734,11,8,45
171,1.8516617274144664e-05,0.001,0.002623500069603324,7,12,45
172,1.2668357157963328e-05,0.001,0.004134976305067539,12,7,45
173,1.7777081211534096e-06,0.001,0.0019254510989412665,7,7,50
174,4.793408152181655e-05,0.001,0.0026228034403175116,10,12,42
175,3.567233943613246e-05,0.001,0.0022186243440955877,8,9,47
176,2.3444508769898675e-05,0.001,-0.001205846550874412,9,7,48
177,2.289164694957435e-05,0.001,0.0018272632732987404,14,13,37
